Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Año,Gènere,Salari mensual,Fills,No Fills,Grup Professional,nombre_completo,Nacida_en_España,Hijos,fecha_nacimiento,edad_actual,Increment
Oriol,López Ferrer,Espanya,Barcelona,3,11,1969,Home,1550.43,1.0,,Grup B,Oriol López Ferrer,True,Sí,1969-11-03,56,0.035
Pau,Sánchez,Espanya,Barcelona,13,3,1962,Home,1524.56,,1.0,Grup B,Pau Sánchez,True,No,1962-03-13,64,0.035
Laia,Sánchez Castells,Espanya,Barcelona,21,11,1970,Dona,2129.0,1.0,,Grup B,Laia Sánchez Castells,True,Sí,1970-11-21,55,0.035
Toni,Sánchez,Espanya,Barcelona,1,1,1987,Home,1545.26,,1.0,Grup B,Toni Sánchez,True,No,1987-01-01,39,0.035
Pau,Ferrer,Espanya,Barcelona,15,3,1991,Home,1555.6,1.0,,Grup B,Pau Ferrer,True,Sí,1991-03-15,35,0.035
Toni,Castells Ferrer,Espanya,Barcelona,15,11,1974,,1904.4,,1.0,Grup B,Toni Castells Ferrer,True,No,1974-11-15,51,0.035
Marc,Castells Sánchez,Espanya,Barcelona,24,6,2000,Home,1446.93,,1.0,Grup B,Marc Castells Sánchez,True,No,2000-06-24,25,0.035
Oriol,Romero García,Espanya,Barcelona,5,9,1972,Home,1512.14,,1.0,Grup B,Oriol Romero García,True,No,1972-09-05,53,0.035
Núria,Ferrer,Espanya,Barcelona,9,6,1959,,2029.64,,1.0,Grup B,Núria Ferrer,True,No,1959-06-09,66,0.035
Jordi,Romero Martínez,Espanya,Barcelona,11,6,1983,Home,2383.6,,1.0,Grup B,Jordi Romero Martínez,True,No,1983-06-11,42,0.035
Núria,García,Espanya,Barcelona,2,5,1989,Dona,1683.94,1.0,,Grup B,Núria García,True,Sí,1989-05-02,37,0.035
Carla,García,Espanya,Barcelona,6,10,2001,Dona,2030.67,1.0,,Grup B,Carla García,True,Sí,2001-10-06,24,0.035
Clara,Romero López,Espanya,Barcelona,8,12,1985,Dona,1433.48,1.0,,Grup B,Clara Romero López,True,Sí,1985-12-08,40,0.035
Marta,Romero Ferrer,Espanya,Barcelona,7,2,1962,Dona,1382.76,1.0,,Grup B,Marta Romero Ferrer,True,Sí,1962-02-07,64,0.035
Núria,Martínez Ferrer,Espanya,Barcelona,7,11,1991,Dona,1558.71,,1.0,Grup B,Núria Martínez Ferrer,True,No,1991-11-07,34,0.035
Núria,Ferrer,Espanya,Barcelona,19,9,2001,Dona,1187.14,1.0,,Grup B,Núria Ferrer,True,Sí,2001-09-19,24,0.035
Laia,Castells López,Espanya,Barcelona,15,11,1969,Dona,1533.87,,1.0,Grup B,Laia Castells López,True,No,1969-11-15,56,0.035
Eva,Castells Martínez,Espanya,Barcelona,15,7,1996,Dona,1417.95,1.0,,Grup B,Eva Castells Martínez,True,Sí,1996-07-15,29,0.035
Pau,Ferrer García,Espanya,Barcelona,21,3,1982,Home,1314.45,,1.0,Grup B,Pau Ferrer García,True,No,1982-03-21,44,0.035
Núria,Ferrer,Espanya,Barcelona,7,12,1983,Dona,2032.74,,1.0,Grup B,Núria Ferrer,True,No,1983-12-07,42,0.035
Laia,López Sánchez,Espanya,Barcelona,11,5,1964,Dona,2163.15,,1.0,Grup B,Laia López Sánchez,True,No,1964-05-11,62,0.035
Marta,Martínez,Espanya,Barcelona,4,7,1980,Dona,1718.1,1.0,,Grup B,Marta Martínez,True,Sí,1980-07-04,45,0.035
Toni,Romero García,Espanya,Barcelona,12,6,1963,Home,1653.93,,1.0,Grup B,Toni Romero García,True,No,1963-06-12,62,0.035
Joan,Romero López,Espanya,Barcelona,11,1,1950,Home,2051.37,1.0,,Grup B,Joan Romero López,True,Sí,1950-01-11,76,0.035
Pau,Martínez García,Espanya,Barcelona,15,11,1989,Home,2332.89,,1.0,Grup B,Pau Martínez García,True,No,1989-11-15,36,0.035
Carla,Romero,Espanya,Barcelona,17,6,1998,Dona,1847.48,1.0,,Grup B,Carla Romero,True,Sí,1998-06-17,27,0.035
Arnau,Martínez Sánchez,Espanya,Barcelona,20,6,1971,Home,1421.06,,1.0,Grup B,Arnau Martínez Sánchez,True,No,1971-06-20,54,0.035
Carla,Castells,Espanya,Barcelona,24,10,1962,Dona,1291.68,1.0,,Grup B,Carla Castells,True,Sí,1962-10-24,63,0.035
Núria,Romero,Espanya,Barcelona,24,12,1970,Dona,2006.86,,1.0,Grup B,Núria Romero,True,No,1970-12-24,55,0.035
Laia,Sánchez,Espanya,Barcelona,27,1,1965,Dona,1941.66,1.0,,Grup B,Laia Sánchez,True,Sí,1965-01-27,61,0.035
Marta,Sánchez Romero,Espanya,Barcelona,5,6,1993,Dona,1366.2,,1.0,Grup B,Marta Sánchez Romero,True,No,1993-06-05,32,0.035
Pau,Romero Martínez,Espanya,Barcelona,16,9,1974,Home,1814.36,,1.0,Grup B,Pau Romero Martínez,True,No,1974-09-16,51,0.035
Clara,García Ferrer,Espanya,Barcelona,10,10,1956,Dona,2055.51,,1.0,Grup B,Clara García Ferrer,True,No,1956-10-10,69,0.035
Anna,Ferrer,Espanya,Barcelona,25,11,1967,Dona,1457.28,,1.0,Grup B,Anna Ferrer,True,No,1967-11-25,58,0.035
Marta,López,Espanya,Barcelona,4,6,2002,Dona,1210.95,1.0,,Grup B,Marta López,True,Sí,2002-06-04,23,0.035
Anna,López Sánchez,Espanya,Barcelona,19,9,1963,Dona,1494.54,1.0,,Grup B,Anna López Sánchez,True,Sí,1963-09-19,62,0.035
Marc,Romero,Espanya,Barcelona,16,8,1986,Home,1721.2,,1.0,Grup B,Marc Romero,True,No,1986-08-16,39,0.035
Joan,López Castells,Espanya,Barcelona,1,4,1984,,1609.42,1.0,,Grup B,Joan López Castells,True,Sí,1984-04-01,42,0.035
Jordi,Romero,Espanya,Barcelona,12,12,1950,Home,2331.86,1.0,,Grup B,Jordi Romero,True,Sí,1950-12-12,75,0.035
Oriol,Martínez López,Espanya,Barcelona,24,6,1980,Home,2136.24,,1.0,Grup B,Oriol Martínez López,True,No,1980-06-24,45,0.035
Pau,Martínez Romero,Espanya,Barcelona,26,7,1986,Home,1799.86,,1.0,Grup B,Pau Martínez Romero,True,No,1986-07-26,39,0.035
Arnau,García Ferrer,Espanya,Barcelona,1,6,1979,Home,1776.06,1.0,,Grup B,Arnau García Ferrer,True,Sí,1979-06-01,47,0.035
Anna,Ferrer Sánchez,Espanya,Barcelona,25,8,1965,,1487.3,1.0,,Grup B,Anna Ferrer Sánchez,True,Sí,1965-08-25,60,0.035
Pau,Ferrer García,Espanya,Barcelona,21,6,1990,Home,1510.06,1.0,,Grup B,Pau Ferrer García,True,Sí,1990-06-21,35,0.035
Anna,García,Espanya,Barcelona,22,12,1999,Dona,1553.54,,1.0,Grup B,Anna García,True,No,1999-12-22,26,0.035
Eva,Martínez López,Espanya,Barcelona,11,4,1958,Dona,1397.25,,1.0,Grup B,Eva Martínez López,True,No,1958-04-11,68,0.035
Laia,Ferrer,Espanya,Barcelona,2,2,1953,Dona,1441.76,1.0,,Grup B,Laia Ferrer,True,Sí,1953-02-02,73,0.035
Toni,Romero,Espanya,Barcelona,23,8,2001,Home,2263.54,,1.0,Grup B,Toni Romero,True,No,2001-08-23,24,0.035
Marc,Romero Martínez,Espanya,Bilbao,4,7,1993,Home,2097.95,1.0,,Grup B,Marc Romero Martínez,True,Sí,1993-07-04,32,0.035
Marc,Ferrer Ferrer,Espanya,Bilbao,20,3,1974,Home,1604.25,1.0,,Grup B,Marc Ferrer Ferrer,True,Sí,1974-03-20,52,0.035
Pau,Ferrer,Espanya,Bilbao,25,4,1957,Home,1365.16,1.0,,Grup B,Pau Ferrer,True,Sí,1957-04-25,69,0.035
Eva,López,Espanya,Bilbao,16,12,1974,Dona,2031.7,,1.0,Grup B,Eva López,True,No,1974-12-16,51,0.035
Eva,Sánchez,Espanya,Bilbao,10,1,1977,Dona,1953.04,,1.0,Grup B,Eva Sánchez,True,No,1977-01-10,49,0.035
Joan,Ferrer,Espanya,Bilbao,13,11,1994,Home,1574.24,,1.0,Grup B,Joan Ferrer,True,No,1994-11-13,31,0.035
Núria,López,Espanya,Bilbao,1,1,1973,Dona,1725.34,1.0,,Grup B,Núria López,True,Sí,1973-01-01,53,0.035
Toni,Castells,Espanya,Bilbao,7,6,1990,Home,1732.59,,1.0,Grup B,Toni Castells,True,No,1990-06-07,35,0.035
Pau,López Martínez,Espanya,Bilbao,22,5,1967,Home,2199.38,1.0,,Grup B,Pau López Martínez,True,Sí,1967-05-22,59,0.035
Joan,Romero,Espanya,Bilbao,15,11,1987,Home,1581.48,,1.0,Grup B,Joan Romero,True,No,1987-11-15,38,0.035
Oriol,Sánchez Sánchez,Espanya,Bilbao,17,3,2002,Home,1878.52,1.0,,Grup B,Oriol Sánchez Sánchez,True,Sí,2002-03-17,24,0.035
Toni,García,Espanya,Bilbao,20,9,1990,Home,1757.43,,1.0,Grup B,Toni García,True,No,1990-09-20,35,0.035
Eva,García,Espanya,Bilbao,18,10,1962,,2209.72,,1.0,Grup B,Eva García,True,No,1962-10-18,63,0.035
Joan,Romero Sánchez,Espanya,Bilbao,24,7,1951,Home,1545.26,1.0,,Grup B,Joan Romero Sánchez,True,Sí,1951-07-24,74,0.035
Joan,Romero Martínez,Espanya,Bilbao,19,11,1954,Home,2164.18,,1.0,Grup B,Joan Romero Martínez,True,No,1954-11-19,71,0.035
Toni,Ferrer,Espanya,Bilbao,24,2,1964,Altres,2214.9,,1.0,Grup B,Toni Ferrer,True,No,1964-02-24,62,0.035
Oriol,Castells,Espanya,Bilbao,17,3,1965,Home,2299.77,,1.0,Grup B,Oriol Castells,True,No,1965-03-17,61,0.035
Anna,Ferrer Castells,Espanya,Bilbao,18,8,1992,Dona,1363.1,1.0,,Grup B,Anna Ferrer Castells,True,Sí,1992-08-18,33,0.035
Laia,Ferrer,Espanya,Bilbao,22,5,1978,Dona,1260.63,,1.0,Grup B,Laia Ferrer,True,No,1978-05-22,48,0.035
Marta,Romero,Espanya,Bilbao,8,7,1978,Dona,1910.61,,1.0,Grup B,Marta Romero,True,No,1978-07-08,47,0.035
Arnau,López López,Espanya,Bilbao,6,6,1991,Home,1430.37,,1.0,Grup B,Arnau López López,True,No,1991-06-06,34,0.035
Carla,López Sánchez,Espanya,Bilbao,11,10,1961,Dona,1682.91,1.0,,Grup B,Carla López Sánchez,True,Sí,1961-10-11,64,0.035
Toni,Ferrer,Espanya,Bilbao,5,9,1957,Home,1464.52,,1.0,Grup B,Toni Ferrer,True,No,1957-09-05,68,0.035
Anna,Castells Martínez,Espanya,Bilbao,6,3,1959,Dona,1615.64,1.0,,Grup B,Anna Castells Martínez,True,Sí,1959-03-06,67,0.035
Núria,Martínez Romero,Espanya,Bilbao,9,7,1965,Dona,1675.66,1.0,,Grup B,Núria Martínez Romero,True,Sí,1965-07-09,60,0.035
Joan,Romero Martínez,Espanya,Bilbao,24,12,1985,Home,1825.74,,1.0,Grup B,Joan Romero Martínez,True,No,1985-12-24,40,0.035
Arnau,Martínez,Espanya,Bilbao,25,4,1959,Home,1420.02,1.0,,Grup B,Arnau Martínez,True,Sí,1959-04-25,67,0.035
Carla,López,Espanya,Bilbao,7,7,2003,Dona,1821.6,1.0,,Grup B,Carla López,True,Sí,2003-07-07,22,0.035
Marta,García,Espanya,Bilbao,19,8,1950,Dona,1481.08,,1.0,Grup B,Marta García,True,No,1950-08-19,75,0.035
Oriol,Castells,Espanya,Bilbao,13,4,1972,Home,1647.72,1.0,,Grup B,Oriol Castells,True,Sí,1972-04-13,54,0.035
Toni,Ferrer,Espanya,Bilbao,20,2,1980,Home,1504.89,,1.0,Grup B,Toni Ferrer,True,No,1980-02-20,46,0.035
Laia,García Ferrer,Espanya,Bilbao,19,1,1970,Dona,1826.78,,1.0,Grup B,Laia García Ferrer,True,No,1970-01-19,56,0.035
Eva,Ferrer Romero,Espanya,Bilbao,19,5,1976,Dona,1461.42,,1.0,Grup B,Eva Ferrer Romero,True,No,1976-05-19,50,0.035
Anna,Castells García,Espanya,Bilbao,26,3,1950,Dona,1516.28,1.0,,Grup B,Anna Castells García,True,Sí,1950-03-26,76,0.035
Toni,Martínez,Espanya,Bilbao,5,7,1973,Home,1700.5,1.0,,Grup B,Toni Martínez,True,Sí,1973-07-05,52,0.035
Jordi,Romero,Espanya,Bilbao,17,11,1969,Home,1405.53,,1.0,Grup B,Jordi Romero,True,No,1969-11-17,56,0.035
Eva,López Martínez,Espanya,Bilbao,27,7,1998,Dona,1380.69,,1.0,Grup B,Eva López Martínez,True,No,1998-07-27,27,0.035
Laia,Castells,Espanya,Bilbao,20,11,2000,Dona,1757.43,1.0,,Grup B,Laia Castells,True,Sí,2000-11-20,25,0.035
Marc,Castells,Espanya,Bilbao,16,12,2002,Home,2206.62,,1.0,Grup B,Marc Castells,True,No,2002-12-16,23,0.035
Pau,Sánchez,Espanya,Bilbao,20,5,1994,Home,2252.16,1.0,,Grup B,Pau Sánchez,True,Sí,1994-05-20,32,0.035
Marta,García,Espanya,Bilbao,23,2,1999,Dona,1635.3,1.0,,Grup B,Marta García,True,Sí,1999-02-23,27,0.035
Joan,Romero Martínez,Espanya,Bilbao,16,2,1996,Home,1913.72,,1.0,Grup B,Joan Romero Martínez,True,No,1996-02-16,30,0.035
Oriol,Romero López,Espanya,Bilbao,3,5,1951,Home,2117.61,,1.0,Grup B,Oriol Romero López,True,No,1951-05-03,75,0.035
Laia,Castells,Espanya,Bilbao,23,4,1998,Dona,1850.58,1.0,,Grup B,Laia Castells,True,Sí,1998-04-23,28,0.035
Laia,Sánchez,Espanya,Bilbao,19,5,1970,Altres,2056.54,1.0,,Grup B,Laia Sánchez,True,Sí,1970-05-19,56,0.035
Eva,López Ferrer,Espanya,Bilbao,24,12,1952,Dona,2086.56,,1.0,Grup B,Eva López Ferrer,True,No,1952-12-24,73,0.035
Arnau,Romero,Espanya,Bilbao,18,11,1967,Home,1755.36,,1.0,Grup B,Arnau Romero,True,No,1967-11-18,58,0.035
Toni,Castells,Espanya,Bilbao,25,7,1966,Home,2206.62,,1.0,Grup B,Toni Castells,True,No,1966-07-25,59,0.035
Joan,Sánchez,Espanya,Bilbao,13,12,1974,Altres,1880.6,,1.0,Grup B,Joan Sánchez,True,No,1974-12-13,51,0.035
Jordi,García,Espanya,Bilbao,11,1,1970,Home,1757.43,1.0,,Grup B,Jordi García,True,Sí,1970-01-11,56,0.035
Marta,Romero,Espanya,Bilbao,25,7,1973,Dona,1887.84,,1.0,Grup B,Marta Romero,True,No,1973-07-25,52,0.035
Núria,Romero López,Espanya,Bilbao,15,6,1999,,1693.26,1.0,,Grup B,Núria Romero López,True,Sí,1999-06-15,26,0.035
Toni,Sánchez,Espanya,Bilbao,26,9,1992,Home,1405.53,,1.0,Grup B,Toni Sánchez,True,No,1992-09-26,33,0.035
Marc,Martínez,Espanya,Bilbao,7,7,1988,Home,2033.78,,1.0,Grup B,Marc Martínez,True,No,1988-07-07,37,0.035
Arnau,Ferrer,Espanya,Bilbao,20,5,1961,Home,1392.08,,1.0,Grup B,Arnau Ferrer,True,No,1961-05-20,65,0.035
Toni,Martínez,Espanya,Bilbao,25,12,1974,Home,1398.28,,1.0,Grup B,Toni Martínez,True,No,1974-12-25,51,0.035
Oriol,Sánchez,Espanya,Bilbao,11,9,1989,Home,2189.02,1.0,,Grup B,Oriol Sánchez,True,Sí,1989-09-11,36,0.035
Núria,García Ferrer,Espanya,Bilbao,11,4,1982,Dona,1819.53,1.0,,Grup B,Núria García Ferrer,True,Sí,1982-04-11,44,0.035
Núria,García López,Espanya,Madrid,8,6,1969,Dona,1422.09,,1.0,Grup B,Núria García López,True,No,1969-06-08,56,0.035
Pau,Martínez,Espanya,Madrid,17,8,1999,Home,2039.98,,1.0,Grup B,Pau Martínez,True,No,1999-08-17,26,0.035
Núria,Romero,Espanya,Madrid,26,10,1993,Dona,1399.32,1.0,,Grup B,Núria Romero,True,Sí,1993-10-26,32,0.035
Eva,Martínez,Espanya,Madrid,19,10,1974,,2085.52,,1.0,Grup B,Eva Martínez,True,No,1974-10-19,51,0.035
Pau,Martínez,Espanya,Madrid,14,2,1959,Home,2173.5,,1.0,Grup B,Pau Martínez,True,No,1959-02-14,67,0.035
Eva,Castells,Espanya,Madrid,9,7,1956,Dona,1727.42,1.0,,Grup B,Eva Castells,True,Sí,1956-07-09,69,0.035
Marta,Romero García,Espanya,Madrid,11,5,1973,Dona,1996.52,,1.0,Grup B,Marta Romero García,True,No,1973-05-11,53,0.035
Oriol,Ferrer Romero,Espanya,Madrid,9,2,1985,Home,2038.95,,1.0,Grup B,Oriol Ferrer Romero,True,No,1985-02-09,41,0.035
Carla,Sánchez,Espanya,Madrid,2,7,1990,Dona,1575.27,1.0,,Grup B,Carla Sánchez,True,Sí,1990-07-02,35,0.035
Laia,García,Espanya,Madrid,9,8,1991,Dona,1547.32,,1.0,Grup B,Laia García,True,No,1991-08-09,34,0.035
Toni,López,Espanya,Madrid,12,10,1964,Home,1414.84,1.0,,Grup B,Toni López,True,Sí,1964-10-12,61,0.035
Arnau,López,Espanya,Madrid,4,4,1994,Altres,1866.1,,1.0,Grup B,Arnau López,True,No,1994-04-04,32,0.035
Laia,López,Espanya,Madrid,21,4,1984,Dona,1220.27,1.0,,Grup B,Laia López,True,Sí,1984-04-21,42,0.035
Joan,García,Espanya,Madrid,22,10,2000,Home,2139.34,,1.0,Grup B,Joan García,True,No,2000-10-22,25,0.035
Jordi,Ferrer López,Espanya,Madrid,13,9,1955,Home,1750.18,1.0,,Grup B,Jordi Ferrer López,True,Sí,1955-09-13,70,0.035
Marta,López Sánchez,Espanya,Madrid,17,5,1992,Dona,1936.48,1.0,,Grup B,Marta López Sánchez,True,Sí,1992-05-17,34,0.035
Marc,Romero,Espanya,Madrid,2,8,1984,Home,1692.22,,1.0,Grup B,Marc Romero,True,No,1984-08-02,41,0.035
Marta,Ferrer,Espanya,Madrid,25,5,1976,Dona,1989.27,,1.0,Grup B,Marta Ferrer,True,No,1976-05-25,50,0.035
Eva,Castells Romero,Espanya,Madrid,24,1,1958,Altres,1974.78,,1.0,Grup B,Eva Castells Romero,True,No,1958-01-24,68,0.035
Anna,López,Espanya,Madrid,17,1,1964,Altres,1348.6,,1.0,Grup B,Anna López,True,No,1964-01-17,62,0.035
Laia,Castells Martínez,Espanya,Madrid,8,4,1975,Dona,1492.47,,1.0,Grup B,Laia Castells Martínez,True,No,1975-04-08,51,0.035
Arnau,Martínez,Espanya,Madrid,20,12,1999,Home,2173.5,,1.0,Grup B,Arnau Martínez,True,No,1999-12-20,26,0.035
Eva,Martínez,Espanya,Madrid,13,6,1994,Dona,1189.21,,1.0,Grup B,Eva Martínez,True,No,1994-06-13,31,0.035
Eva,Ferrer,Espanya,Madrid,22,5,1997,Dona,1268.91,,1.0,Grup B,Eva Ferrer,True,No,1997-05-22,29,0.035
Toni,Sánchez,Espanya,Madrid,6,3,1996,Home,2123.82,,1.0,Grup B,Toni Sánchez,True,No,1996-03-06,30,0.035
Laia,López,Espanya,Madrid,15,10,1978,Dona,1497.64,1.0,,Grup B,Laia López,True,Sí,1978-10-15,47,0.035
Arnau,Ferrer Romero,Espanya,Madrid,2,7,1975,Home,2272.86,,1.0,Grup B,Arnau Ferrer Romero,True,No,1975-07-02,50,0.035
Clara,López,Espanya,Madrid,12,5,1989,Dona,1449.0,,1.0,Grup B,Clara López,True,No,1989-05-12,37,0.035
Laia,Martínez,Espanya,Madrid,9,9,1977,Dona,2124.86,,1.0,Grup B,Laia Martínez,True,No,1977-09-09,48,0.035
Joan,Sánchez Sánchez,Espanya,Madrid,28,7,2005,,1482.12,,1.0,Grup B,Joan Sánchez Sánchez,True,No,2005-07-28,20,0.035
Núria,Sánchez García,Espanya,Madrid,14,1,1966,Dona,2027.56,1.0,,Grup B,Núria Sánchez García,True,Sí,1966-01-14,60,0.035
Pau,Ferrer,Espanya,Madrid,24,11,1997,Home,2300.8,,1.0,Grup B,Pau Ferrer,True,No,1997-11-24,28,0.035
Carla,López Martínez,Espanya,Madrid,14,10,1962,Altres,1603.22,,1.0,Grup B,Carla López Martínez,True,No,1962-10-14,63,0.035
Oriol,Ferrer,Espanya,Madrid,2,4,1974,Home,1370.34,1.0,,Grup B,Oriol Ferrer,True,Sí,1974-04-02,52,0.035
Toni,Romero Romero,Espanya,Madrid,15,2,1984,Altres,1819.53,1.0,,Grup B,Toni Romero Romero,True,Sí,1984-02-15,42,0.035
Carla,Romero,Espanya,Madrid,18,3,1964,Dona,1736.73,1.0,,Grup B,Carla Romero,True,Sí,1964-03-18,62,0.035
Marta,López,Espanya,Madrid,13,3,1999,Dona,1227.51,,1.0,Grup B,Marta López,True,No,1999-03-13,27,0.035
Toni,Sánchez,Espanya,Madrid,13,3,1976,,1777.1,1.0,,Grup B,Toni Sánchez,True,Sí,1976-03-13,50,0.035
Toni,Martínez Castells,Espanya,Sevilla,20,4,1952,Altres,2203.52,,1.0,Grup B,Toni Martínez Castells,True,No,1952-04-20,74,0.035
Eva,Ferrer Martínez,Espanya,Sevilla,4,5,1960,Dona,1470.74,,1.0,Grup B,Eva Ferrer Martínez,True,No,1960-05-04,66,0.035
Anna,Sánchez,Espanya,Sevilla,21,10,1955,Dona,1349.64,,1.0,Grup B,Anna Sánchez,True,No,1955-10-21,70,0.035
Anna,Sánchez García,Espanya,Sevilla,13,7,1993,Dona,1502.82,,1.0,Grup B,Anna Sánchez García,True,No,1993-07-13,32,0.035
Núria,García Ferrer,Espanya,Sevilla,17,6,1957,Altres,1283.4,,1.0,Grup B,Núria García Ferrer,True,No,1957-06-17,68,0.035
Marta,Castells Ferrer,Espanya,Sevilla,15,3,1981,Dona,1937.52,1.0,,Grup B,Marta Castells Ferrer,True,Sí,1981-03-15,45,0.035
Oriol,Sánchez Martínez,Espanya,Sevilla,5,1,1981,Home,2008.94,,1.0,Grup B,Oriol Sánchez Martínez,True,No,1981-01-05,45,0.035
Jordi,Ferrer,Espanya,Sevilla,15,2,1958,Home,1859.9,,1.0,Grup B,Jordi Ferrer,True,No,1958-02-15,68,0.035
Arnau,Sánchez,Espanya,Sevilla,21,10,1990,Home,2224.22,,1.0,Grup B,Arnau Sánchez,True,No,1990-10-21,35,0.035
Marta,Romero,Espanya,Sevilla,27,4,1976,Dona,1820.56,,1.0,Grup B,Marta Romero,True,No,1976-04-27,50,0.035
