Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Año,Gènere,Salari mensual,Fills,No Fills,Grup Professional,nombre_completo,Nacida_en_España,Hijos,fecha_nacimiento,edad_actual,Increment
Joan,López Ferrer,Espanya,Barcelona,21,6,1951,Home,2844.78,,1.0,Grup C,Joan López Ferrer,True,No,1951-06-21,74,0.02
Arnau,López Sánchez,Espanya,Barcelona,22,5,1951,Home,1723.8,1.0,,Grup C,Arnau López Sánchez,True,Sí,1951-05-22,75,0.02
Oriol,Castells,Espanya,Barcelona,8,7,1950,Home,2835.6,1.0,,Grup C,Oriol Castells,True,Sí,1950-07-08,75,0.02
Laia,Romero,Espanya,Barcelona,17,4,1962,Dona,1796.22,,1.0,Grup C,Laia Romero,True,No,1962-04-17,64,0.02
Oriol,Martínez,Espanya,Barcelona,9,7,2002,Home,2059.38,1.0,,Grup C,Oriol Martínez,True,Sí,2002-07-09,23,0.02
Núria,Ferrer,Espanya,Barcelona,10,4,1957,Dona,2413.32,,1.0,Grup C,Núria Ferrer,True,No,1957-04-10,69,0.02
Núria,Martínez Sánchez,Espanya,Barcelona,23,7,1999,Dona,2228.7,1.0,,Grup C,Núria Martínez Sánchez,True,Sí,1999-07-23,26,0.02
Carla,Ferrer,Espanya,Barcelona,17,12,1963,Dona,1966.56,1.0,,Grup C,Carla Ferrer,True,Sí,1963-12-17,62,0.02
Jordi,Sánchez,Espanya,Barcelona,1,3,1976,Home,1796.22,,1.0,Grup C,Jordi Sánchez,True,No,1976-03-01,50,0.02
Jordi,Martínez Sánchez,Espanya,Barcelona,12,12,1970,Home,2715.24,1.0,,Grup C,Jordi Martínez Sánchez,True,Sí,1970-12-12,55,0.02
Arnau,Martínez López,Espanya,Barcelona,5,9,1979,Home,2339.88,,1.0,Grup C,Arnau Martínez López,True,No,1979-09-05,46,0.02
Joan,Romero,Espanya,Barcelona,8,1,1985,Home,2437.8,,1.0,Grup C,Joan Romero,True,No,1985-01-08,41,0.02
Marc,Castells,Espanya,Barcelona,15,6,1952,Home,2659.14,1.0,,Grup C,Marc Castells,True,Sí,1952-06-15,73,0.02
Toni,Castells,Espanya,Barcelona,20,10,1984,Home,1868.64,,1.0,Grup C,Toni Castells,True,No,1984-10-20,41,0.02
Jordi,García,Espanya,Barcelona,23,5,1984,Home,1732.98,1.0,,Grup C,Jordi García,True,Sí,1984-05-23,42,0.02
Marta,Martínez Martínez,Espanya,Bilbao,23,8,1995,,2047.14,,1.0,Grup C,Marta Martínez Martínez,True,No,1995-08-23,30,0.02
Núria,Castells,Espanya,Bilbao,14,11,1960,,2856.0,1.0,,Grup C,Núria Castells,True,Sí,1960-11-14,65,0.02
Marc,Sánchez López,Espanya,Bilbao,6,8,1990,Home,2026.74,,1.0,Grup C,Marc Sánchez López,True,No,1990-08-06,35,0.02
Toni,García,Espanya,Bilbao,28,10,1998,Home,2768.28,1.0,,Grup C,Toni García,True,Sí,1998-10-28,27,0.02
Eva,Castells García,Espanya,Bilbao,18,3,1993,Dona,2680.56,,1.0,Grup C,Eva Castells García,True,No,1993-03-18,33,0.02
Pau,Ferrer López,Espanya,Bilbao,22,11,1960,Home,2621.4,1.0,,Grup C,Pau Ferrer López,True,Sí,1960-11-22,65,0.02
Marc,Romero Romero,Espanya,Bilbao,8,8,1959,Home,2223.6,1.0,,Grup C,Marc Romero Romero,True,Sí,1959-08-08,66,0.02
Oriol,Romero Sánchez,Espanya,Bilbao,6,2,1997,Home,2843.76,1.0,,Grup C,Oriol Romero Sánchez,True,Sí,1997-02-06,29,0.02
Toni,López,Espanya,Bilbao,26,1,1998,Home,1899.24,,1.0,Grup C,Toni López,True,No,1998-01-26,28,0.02
Eva,Sánchez Castells,Espanya,Bilbao,23,9,1987,Dona,2668.32,1.0,,Grup C,Eva Sánchez Castells,True,Sí,1987-09-23,38,0.02
Núria,Martínez Ferrer,Espanya,Bilbao,27,3,1965,Dona,2338.86,,1.0,Grup C,Núria Martínez Ferrer,True,No,1965-03-27,61,0.02
Marc,Castells,Espanya,Bilbao,11,9,1984,Home,1880.88,,1.0,Grup C,Marc Castells,True,No,1984-09-11,41,0.02
Marta,López,Espanya,Bilbao,2,9,1954,Altres,1960.44,1.0,,Grup C,Marta López,True,Sí,1954-09-02,71,0.02
Marc,Martínez Sánchez,Espanya,Bilbao,21,12,1965,Home,2291.94,1.0,,Grup C,Marc Martínez Sánchez,True,Sí,1965-12-21,60,0.02
Toni,Sánchez Romero,Espanya,Bilbao,18,12,1952,Home,2074.68,,1.0,Grup C,Toni Sánchez Romero,True,No,1952-12-18,73,0.02
Laia,Sánchez Romero,Espanya,Bilbao,4,12,1960,Dona,2101.2,1.0,,Grup C,Laia Sánchez Romero,True,Sí,1960-12-04,65,0.02
Jordi,Romero García,Espanya,Bilbao,5,12,1978,Home,1986.96,1.0,,Grup C,Jordi Romero García,True,Sí,1978-12-05,47,0.02
Toni,López García,Espanya,Bilbao,23,2,1976,Home,2534.7,,1.0,Grup C,Toni López García,True,No,1976-02-23,50,0.02
Joan,Ferrer García,Espanya,Bilbao,5,5,1995,Home,2913.12,1.0,,Grup C,Joan Ferrer García,True,Sí,1995-05-05,31,0.02
Toni,Romero Ferrer,Espanya,Bilbao,13,12,1970,Home,2392.92,,1.0,Grup C,Toni Romero Ferrer,True,No,1970-12-13,55,0.02
Jordi,Castells López,Espanya,Bilbao,12,2,1961,Home,2407.2,1.0,,Grup C,Jordi Castells López,True,Sí,1961-02-12,65,0.02
Joan,Romero García,Espanya,Bilbao,25,1,1954,Home,2056.32,,1.0,Grup C,Joan Romero García,True,No,1954-01-25,72,0.02
Joan,López García,Espanya,Bilbao,21,11,1987,Home,2681.58,,1.0,Grup C,Joan López García,True,No,1987-11-21,38,0.02
Clara,Romero López,Espanya,Bilbao,11,1,1955,Altres,2418.42,1.0,,Grup C,Clara Romero López,True,Sí,1955-01-11,71,0.02
Laia,López,Espanya,Madrid,11,7,1964,,2104.26,1.0,,Grup C,Laia López,True,Sí,1964-07-11,61,0.02
Pau,Sánchez,Espanya,Madrid,8,10,2001,Home,2132.82,,1.0,Grup C,Pau Sánchez,True,No,2001-10-08,24,0.02
Marc,García,Espanya,Madrid,19,10,1955,Home,2219.52,1.0,,Grup C,Marc García,True,Sí,1955-10-19,70,0.02
Pau,Romero Romero,Espanya,Madrid,6,12,1988,Home,2776.44,,1.0,Grup C,Pau Romero Romero,True,No,1988-12-06,37,0.02
Arnau,Castells Castells,Espanya,Madrid,7,11,1963,Home,2200.14,,1.0,Grup C,Arnau Castells Castells,True,No,1963-11-07,62,0.02
Arnau,Romero,Espanya,Madrid,26,6,1985,Home,2790.72,,1.0,Grup C,Arnau Romero,True,No,1985-06-26,40,0.02
Clara,Romero,Espanya,Madrid,5,12,1986,Dona,2593.86,,1.0,Grup C,Clara Romero,True,No,1986-12-05,39,0.02
Eva,García Martínez,Espanya,Madrid,10,7,1965,Dona,2033.88,1.0,,Grup C,Eva García Martínez,True,Sí,1965-07-10,60,0.02
Marc,Castells,Espanya,Madrid,28,11,1976,Home,2261.34,,1.0,Grup C,Marc Castells,True,No,1976-11-28,49,0.02
Carla,Romero,Espanya,Madrid,8,11,1991,Dona,2567.34,1.0,,Grup C,Carla Romero,True,Sí,1991-11-08,34,0.02
Arnau,Ferrer Sánchez,Espanya,Madrid,17,7,1964,Home,2357.22,,1.0,Grup C,Arnau Ferrer Sánchez,True,No,1964-07-17,61,0.02
Laia,García García,Espanya,Madrid,8,12,1972,Dona,2269.5,1.0,,Grup C,Laia García García,True,Sí,1972-12-08,53,0.02
Oriol,López Martínez,Espanya,Madrid,17,3,1978,Home,2328.66,1.0,,Grup C,Oriol López Martínez,True,Sí,1978-03-17,48,0.02
Marta,López,Espanya,Madrid,16,7,2001,Dona,2002.26,1.0,,Grup C,Marta López,True,Sí,2001-07-16,24,0.02
Pau,Sánchez Martínez,Espanya,Madrid,2,3,1981,Home,2560.2,1.0,,Grup C,Pau Sánchez Martínez,True,Sí,1981-03-02,45,0.02
Jordi,López,Espanya,Madrid,27,4,1996,Home,2899.86,1.0,,Grup C,Jordi López,True,Sí,1996-04-27,30,0.02
Arnau,García Romero,Espanya,Madrid,13,12,1970,Home,2362.32,,1.0,Grup C,Arnau García Romero,True,No,1970-12-13,55,0.02
Marc,Castells,Espanya,Madrid,3,8,1978,Home,1778.88,,1.0,Grup C,Marc Castells,True,No,1978-08-03,47,0.02
Joan,López,Espanya,Sevilla,13,10,1964,Home,2657.1,1.0,,Grup C,Joan López,True,Sí,1964-10-13,61,0.02
Marta,Ferrer López,Espanya,Sevilla,19,7,1969,,2471.46,,1.0,Grup C,Marta Ferrer López,True,No,1969-07-19,56,0.02
Clara,Martínez,Espanya,Sevilla,4,7,2001,Dona,2576.52,1.0,,Grup C,Clara Martínez,True,Sí,2001-07-04,24,0.02
Clara,Ferrer,Espanya,Sevilla,21,12,1999,Altres,2440.86,1.0,,Grup C,Clara Ferrer,True,Sí,1999-12-21,26,0.02
Eva,Martínez,Espanya,Sevilla,18,3,1986,Dona,1836.0,,1.0,Grup C,Eva Martínez,True,No,1986-03-18,40,0.02
Arnau,Sánchez,Espanya,Sevilla,13,11,1967,Home,2110.38,,1.0,Grup C,Arnau Sánchez,True,No,1967-11-13,58,0.02
Carla,Ferrer,Espanya,Sevilla,11,9,1955,Dona,2101.2,1.0,,Grup C,Carla Ferrer,True,Sí,1955-09-11,70,0.02
Arnau,Martínez,Espanya,Sevilla,3,6,1962,Home,1880.88,1.0,,Grup C,Arnau Martínez,True,Sí,1962-06-03,63,0.02
Carla,Sánchez,Espanya,Sevilla,2,1,1952,Dona,1821.72,,1.0,Grup C,Carla Sánchez,True,No,1952-01-02,74,0.02
Eva,Romero Romero,Espanya,Sevilla,26,2,1954,Dona,1766.64,,1.0,Grup C,Eva Romero Romero,True,No,1954-02-26,72,0.02
Joan,Martínez Romero,Espanya,Sevilla,20,4,1994,,1871.7,,1.0,Grup C,Joan Martínez Romero,True,No,1994-04-20,32,0.02
Anna,Ferrer,Espanya,Sevilla,25,5,2000,Dona,2207.28,,1.0,Grup C,Anna Ferrer,True,No,2000-05-25,26,0.02
Oriol,Sánchez,Espanya,Sevilla,27,2,1958,Home,2589.78,,1.0,Grup C,Oriol Sánchez,True,No,1958-02-27,68,0.02
Joan,Romero,Espanya,Sevilla,10,11,1952,Home,1942.08,,1.0,Grup C,Joan Romero,True,No,1952-11-10,73,0.02
Jordi,García,Espanya,Sevilla,13,6,1987,Home,2784.6,1.0,,Grup C,Jordi García,True,Sí,1987-06-13,38,0.02
Joan,Martínez,Espanya,Sevilla,26,5,1976,Home,2873.34,,1.0,Grup C,Joan Martínez,True,No,1976-05-26,50,0.02
Marta,Martínez Romero,Espanya,Sevilla,7,9,1955,Dona,2001.24,,1.0,Grup C,Marta Martínez Romero,True,No,1955-09-07,70,0.02
Pau,Sánchez,Espanya,Sevilla,20,10,1953,Home,2820.3,,1.0,Grup C,Pau Sánchez,True,No,1953-10-20,72,0.02
Eva,Romero,Espanya,Sevilla,16,11,1964,,1999.2,,1.0,Grup C,Eva Romero,True,No,1964-11-16,61,0.02
Oriol,Romero Romero,Espanya,Sevilla,11,7,1964,Altres,1989.0,,1.0,Grup C,Oriol Romero Romero,True,No,1964-07-11,61,0.02
Núria,Sánchez Romero,Espanya,Sevilla,9,1,1974,Dona,1939.02,,1.0,Grup C,Núria Sánchez Romero,True,No,1974-01-09,52,0.02
Jordi,Castells,Espanya,Sevilla,14,12,1986,Altres,2304.18,1.0,,Grup C,Jordi Castells,True,Sí,1986-12-14,39,0.02
Marc,Sánchez García,Espanya,Sevilla,4,3,1974,Altres,1643.22,1.0,,Grup C,Marc Sánchez García,True,Sí,1974-03-04,52,0.02
Laia,Romero López,Espanya,Sevilla,23,6,2005,Dona,2407.2,,1.0,Grup C,Laia Romero López,True,No,2005-06-23,20,0.02
Toni,Martínez,Espanya,València,12,9,1992,Home,2599.98,1.0,,Grup C,Toni Martínez,True,Sí,1992-09-12,33,0.02
Pau,López Martínez,Espanya,València,1,1,1988,Home,2861.1,,1.0,Grup C,Pau López Martínez,True,No,1988-01-01,38,0.02
Marta,Romero,Espanya,València,3,12,1958,Dona,1562.64,,1.0,Grup C,Marta Romero,True,No,1958-12-03,67,0.02
Clara,Castells Castells,Espanya,València,15,8,1962,Dona,2372.52,1.0,,Grup C,Clara Castells Castells,True,Sí,1962-08-15,63,0.02
Marc,García Ferrer,Espanya,València,21,5,1968,Home,2185.86,1.0,,Grup C,Marc García Ferrer,True,Sí,1968-05-21,58,0.02
Carla,Sánchez Romero,Espanya,València,17,10,1959,Dona,2453.1,1.0,,Grup C,Carla Sánchez Romero,True,Sí,1959-10-17,66,0.02
Jordi,García García,Espanya,València,18,6,1967,Home,2438.82,1.0,,Grup C,Jordi García García,True,Sí,1967-06-18,58,0.02
Marc,Romero Ferrer,Espanya,València,22,9,1993,Home,1777.86,1.0,,Grup C,Marc Romero Ferrer,True,Sí,1993-09-22,32,0.02
Laia,Romero Martínez,Espanya,València,18,7,1963,Altres,2089.98,,1.0,Grup C,Laia Romero Martínez,True,No,1963-07-18,62,0.02
Carla,Ferrer García,Espanya,València,25,2,1970,Dona,2564.28,,1.0,Grup C,Carla Ferrer García,True,No,1970-02-25,56,0.02
Pau,García,Espanya,València,1,3,2000,Home,2437.8,,1.0,Grup C,Pau García,True,No,2000-03-01,26,0.02
Marta,López,Espanya,València,4,11,1971,Dona,2398.02,1.0,,Grup C,Marta López,True,Sí,1971-11-04,54,0.02
Toni,Martínez,Espanya,València,13,7,1978,Home,1966.56,1.0,,Grup C,Toni Martínez,True,Sí,1978-07-13,47,0.02
Carla,López López,Espanya,València,9,10,1970,Dona,2245.02,,1.0,Grup C,Carla López López,True,No,1970-10-09,55,0.02
Jordi,Romero,Espanya,València,1,1,1973,Home,2352.12,,1.0,Grup C,Jordi Romero,True,No,1973-01-01,53,0.02
Marc,García Castells,Espanya,València,20,12,1983,Home,2970.24,1.0,,Grup C,Marc García Castells,True,Sí,1983-12-20,42,0.02
Laia,Sánchez,Espanya,València,17,7,1967,Dona,2300.1,,1.0,Grup C,Laia Sánchez,True,No,1967-07-17,58,0.02
Élise,Dubois,França,Lió,4,12,1950,Dona,1907.4,,1.0,Grup C,Élise Dubois,False,No,1950-12-04,75,0.02
Camille,Girard Lefevre,França,Marsella,7,12,2003,Dona,2495.94,1.0,,Grup C,Camille Girard Lefevre,False,Sí,2003-12-07,22,0.02
Élise,Lefevre,França,París,7,11,1972,Dona,1729.92,1.0,,Grup C,Élise Lefevre,False,Sí,1972-11-07,53,0.02
Élise,Moreau,França,París,9,10,1959,Dona,2149.14,1.0,,Grup C,Élise Moreau,False,Sí,1959-10-09,66,0.02
Gabriela,Ramírez González,Mèxic,Ciutat de Mèxic,7,5,1980,Dona,2403.12,,1.0,Grup C,Gabriela Ramírez González,False,No,1980-05-07,46,0.02
Andrés,Hernández Hernández,Mèxic,Ciutat de Mèxic,11,12,1983,Home,2215.44,,1.0,Grup C,Andrés Hernández Hernández,False,No,1983-12-11,42,0.02
José,Ramírez Hernández,Mèxic,Guadalajara,11,6,1966,Home,1967.58,,1.0,Grup C,José Ramírez Hernández,False,No,1966-06-11,59,0.02
María,Cruz,Mèxic,Guadalajara,27,1,1963,Dona,2461.26,,1.0,Grup C,María Cruz,False,No,1963-01-27,63,0.02
Luisa,Ramírez,Mèxic,Guadalajara,8,6,1984,Dona,1897.2,,1.0,Grup C,Luisa Ramírez,False,No,1984-06-08,41,0.02
Camila,Hernández,Mèxic,Guadalajara,26,9,1978,Dona,2340.9,1.0,,Grup C,Camila Hernández,False,Sí,1978-09-26,47,0.02
Camila,Cruz Ramírez,Mèxic,Guadalajara,4,10,1994,Dona,1860.48,1.0,,Grup C,Camila Cruz Ramírez,False,Sí,1994-10-04,31,0.02
Miguel,Oliveira Pereira,Portugal,Lisboa,19,9,1978,Home,2293.98,,1.0,Grup C,Miguel Oliveira Pereira,False,No,1978-09-19,47,0.02
Inês,Silva,Portugal,Lisboa,28,2,1980,Dona,1589.16,1.0,,Grup C,Inês Silva,False,Sí,1980-02-28,46,0.02
Rui,Oliveira,Portugal,Lisboa,9,3,1951,Home,1931.88,,1.0,Grup C,Rui Oliveira,False,No,1951-03-09,75,0.02
Maria,Silva,Portugal,Porto,14,12,1991,Altres,2507.16,,1.0,Grup C,Maria Silva,False,No,1991-12-14,34,0.02
Sophie,Brown,Regne Unit,Londres,12,5,1956,Dona,1562.64,,1.0,Grup C,Sophie Brown,False,No,1956-05-12,70,0.02
Olivia,Jones Brown,Regne Unit,Londres,20,1,1965,Altres,2509.2,1.0,,Grup C,Olivia Jones Brown,False,Sí,1965-01-20,61,0.02
Isla,Brown Jones,Regne Unit,Londres,5,3,1954,Altres,2325.6,1.0,,Grup C,Isla Brown Jones,False,Sí,1954-03-05,72,0.02
Isla,Smith Brown,Regne Unit,Londres,24,9,1991,Dona,2212.38,1.0,,Grup C,Isla Smith Brown,False,Sí,1991-09-24,34,0.02
Sophie,Brown,Regne Unit,Londres,17,5,1983,Dona,2232.78,1.0,,Grup C,Sophie Brown,False,Sí,1983-05-17,43,0.02
