Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Año,Gènere,Salari mensual,Fills,No Fills,Grup Professional,nombre_completo,Nacida_en_España,Hijos,fecha_nacimiento,edad_actual,Increment
Laia,Sánchez López,Espanya,Bilbao,5,8,1972,Dona,3201.12,,1.0,Grup D,Laia Sánchez López,True,No,1972-08-05,53,0.08
Arnau,Romero,Espanya,Bilbao,26,6,1951,Home,3595.32,1.0,,Grup D,Arnau Romero,True,Sí,1951-06-26,74,0.08
Pau,Castells,Espanya,Bilbao,20,7,1953,Home,3188.16,,1.0,Grup D,Pau Castells,True,No,1953-07-20,72,0.08
Laia,Castells Ferrer,Espanya,Madrid,16,12,1953,Altres,2819.88,,1.0,Grup D,Laia Castells Ferrer,True,No,1953-12-16,72,0.08
Marta,Romero,Espanya,Madrid,10,5,2001,Dona,3034.8,1.0,,Grup D,Marta Romero,True,Sí,2001-05-10,25,0.08
Laia,Martínez Sánchez,Espanya,Madrid,14,6,1961,Dona,2803.68,,1.0,Grup D,Laia Martínez Sánchez,True,No,1961-06-14,64,0.08
Clara,Ferrer,Espanya,Madrid,17,7,1990,Dona,2893.32,,1.0,Grup D,Clara Ferrer,True,No,1990-07-17,35,0.08
Eva,Sánchez,Espanya,Madrid,9,9,1992,Dona,3115.8,1.0,,Grup D,Eva Sánchez,True,Sí,1992-09-09,33,0.08
Carla,Martínez,Espanya,Madrid,21,3,1973,Dona,3078.0,,1.0,Grup D,Carla Martínez,True,No,1973-03-21,53,0.08
Núria,Sánchez Castells,Espanya,Madrid,12,5,1981,,2961.36,,1.0,Grup D,Núria Sánchez Castells,True,No,1981-05-12,45,0.08
Pau,Martínez López,Espanya,Madrid,3,11,2000,Home,3007.8,1.0,,Grup D,Pau Martínez López,True,Sí,2000-11-03,25,0.08
Pau,García Romero,Espanya,Madrid,27,12,1983,Home,3046.68,,1.0,Grup D,Pau García Romero,True,No,1983-12-27,42,0.08
Pau,García,Espanya,Madrid,11,3,1976,,3142.8,,1.0,Grup D,Pau García,True,No,1976-03-11,50,0.08
Jordi,López,Espanya,Madrid,25,6,1995,Home,3518.64,,1.0,Grup D,Jordi López,True,No,1995-06-25,30,0.08
Clara,Sánchez,Espanya,Madrid,1,10,2002,Altres,3393.36,1.0,,Grup D,Clara Sánchez,True,Sí,2002-10-01,23,0.08
Laia,López Castells,Espanya,Madrid,13,8,1971,,2824.2,1.0,,Grup D,Laia López Castells,True,Sí,1971-08-13,54,0.08
Oriol,López Castells,Espanya,Madrid,14,4,1987,Home,3624.48,,1.0,Grup D,Oriol López Castells,True,No,1987-04-14,39,0.08
Oriol,Ferrer,Espanya,Madrid,12,3,1995,Home,3517.56,1.0,,Grup D,Oriol Ferrer,True,Sí,1995-03-12,31,0.08
Marta,López,Espanya,Madrid,9,7,2004,Dona,2986.2,,1.0,Grup D,Marta López,True,No,2004-07-09,21,0.08
Marc,Martínez,Espanya,Sevilla,1,8,1977,Home,3283.2,,1.0,Grup D,Marc Martínez,True,No,1977-08-01,48,0.08
Carla,López Ferrer,Espanya,Sevilla,4,9,1962,Dona,3089.88,,1.0,Grup D,Carla López Ferrer,True,No,1962-09-04,63,0.08
Marc,López,Espanya,Sevilla,8,2,1987,,3206.52,,1.0,Grup D,Marc López,True,No,1987-02-08,39,0.08
Clara,García Martínez,Espanya,Sevilla,2,9,1986,Dona,2587.68,,1.0,Grup D,Clara García Martínez,True,No,1986-09-02,39,0.08
Joan,Martínez Romero,Espanya,Sevilla,4,7,1971,Home,3213.0,,1.0,Grup D,Joan Martínez Romero,True,No,1971-07-04,54,0.08
Toni,López,Espanya,Sevilla,10,3,1989,Home,3112.56,,1.0,Grup D,Toni López,True,No,1989-03-10,37,0.08
Anna,Sánchez Castells,Espanya,Sevilla,1,2,1960,Dona,2840.4,,1.0,Grup D,Anna Sánchez Castells,True,No,1960-02-01,66,0.08
Arnau,Sánchez García,Espanya,València,24,2,1978,Home,3545.64,,1.0,Grup D,Arnau Sánchez García,True,No,1978-02-24,48,0.08
Arnau,Castells Sánchez,Espanya,València,17,4,1998,Home,3014.28,,1.0,Grup D,Arnau Castells Sánchez,True,No,1998-04-17,28,0.08
Arnau,Ferrer,Espanya,València,24,3,1990,Altres,2813.4,1.0,,Grup D,Arnau Ferrer,True,Sí,1990-03-24,36,0.08
Joan,Martínez Sánchez,Espanya,València,18,2,1986,Home,3583.44,1.0,,Grup D,Joan Martínez Sánchez,True,Sí,1986-02-18,40,0.08
Carla,Sánchez,Espanya,València,6,3,1957,Dona,3187.08,1.0,,Grup D,Carla Sánchez,True,Sí,1957-03-06,69,0.08
Clara,López,Espanya,València,17,2,1951,Dona,3150.36,1.0,,Grup D,Clara López,True,Sí,1951-02-17,75,0.08
Clara,Romero,Espanya,València,4,1,1974,Dona,3262.68,1.0,,Grup D,Clara Romero,True,Sí,1974-01-04,52,0.08
Arnau,López Martínez,Espanya,València,24,1,1970,Home,3513.24,1.0,,Grup D,Arnau López Martínez,True,Sí,1970-01-24,56,0.08
Joan,Martínez Ferrer,Espanya,València,12,3,1964,Home,3137.4,,1.0,Grup D,Joan Martínez Ferrer,True,No,1964-03-12,62,0.08
Clara,López Castells,Espanya,València,9,4,1982,Dona,3242.16,,1.0,Grup D,Clara López Castells,True,No,1982-04-09,44,0.08
Michel,Lefevre,França,París,21,8,1974,Home,2873.88,,1.0,Grup D,Michel Lefevre,False,No,1974-08-21,51,0.08
Michel,Girard Dubois,França,París,9,8,1970,Home,3210.84,,1.0,Grup D,Michel Girard Dubois,False,No,1970-08-09,55,0.08
Giovanni,Rossi Russo,Itàlia,Torí,10,12,2000,Home,3093.12,1.0,,Grup D,Giovanni Rossi Russo,False,Sí,2000-12-10,25,0.08
Amina,Bennani,Marroc,Casablanca,22,10,2004,Dona,3183.84,1.0,,Grup D,Amina Bennani,False,Sí,2004-10-22,21,0.08
María,Cruz,Mèxic,Ciutat de Mèxic,14,3,1958,Dona,2865.24,1.0,,Grup D,María Cruz,False,Sí,1958-03-14,68,0.08
Maria,Silva Oliveira,Portugal,Lisboa,4,9,1993,,3125.52,,1.0,Grup D,Maria Silva Oliveira,False,No,1993-09-04,32,0.08
Beatriz,Ferreira Pereira,Portugal,Lisboa,25,10,2004,Dona,2566.08,1.0,,Grup D,Beatriz Ferreira Pereira,False,Sí,2004-10-25,21,0.08
